"option_id","parameter_id","procedure_id","procedure_stable_key","procedure_stable_id","db_id.x","procedure_name","procedure_desc","major_version.x","minor_version.x","is_mandatory","level","stage","stage_label","parameter_stable_id","db_id.y","parameter_name","description.x","major_version.y","minor_version.y","unit","datatype","parameter_type","formula","required","metadata","important","derived","annotate","increment","options","sequence","media","data_analysis","data_analysis_notes","stable_key","option_name","description.y","normal"
NA,1,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_001_001",6,"Body weight","body_weight",1,3,"g","FLOAT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",2100,NA,NA,NA
NA,2,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_002_001",6,"General comments about the mouse","general_comments_about_the_mouse",1,1," ","TEXT","simpleParameter",NA,0,0,0,0,0,0,0,0,0,0,"",2101,NA,NA,NA
NA,3,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_003_001",6,"Equipment ID","equipment_name",1,0," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,0,0,0,0,"",2102,NA,NA,NA
1,4,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_004_001",6,"Equipment manufacturer","equipment_manufacturer",1,2," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2103,"Ohaus","",NA
2,4,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_004_001",6,"Equipment manufacturer","equipment_manufacturer",1,2," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2103,"Denver Instrument","",NA
3,4,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_004_001",6,"Equipment manufacturer","equipment_manufacturer",1,2," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2103,"Scientech","",NA
4,4,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_004_001",6,"Equipment manufacturer","equipment_manufacturer",1,2," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2103,"Mettler Toledo","",NA
5,4,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_004_001",6,"Equipment manufacturer","equipment_manufacturer",1,2," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2103,"Kern & Sohn GmbH","",NA
6,4,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_004_001",6,"Equipment manufacturer","equipment_manufacturer",1,2," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2103,"Sartorius","",NA
7,4,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_004_001",6,"Equipment manufacturer","equipment_manufacturer",1,2," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2103,"Acculab","",NA
