exmp_name,sex,lab,strain,value,eslim_id,parameter_name
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015878378,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007176471,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015531136,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013224638,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012322835,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014965035,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006624473,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015217391,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008875502,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013123028,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014201389,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015789474,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.00779661,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.0125,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006115108,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.010161812,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013180328,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.009960317,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012892857,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.009202658,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016107595,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008810289,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014339623,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.011423841,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01384375,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.018301887,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.027223881,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.011940299,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.027508772,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016931034,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014740484,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016967509,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013923077,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.011007463,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014863014,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016439169,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007281553,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01244186,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014644195,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.00896,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014685714,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008770764,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016598639,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013910035,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008071429,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.011438849,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.017216495,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015034014,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015820896,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016025641,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013642612,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008959108,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016501767,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013935484,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.017106227,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.010181159,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014201681,ESLIM_005_001_701,BMC/Body weight
